team1,team2,venue,toss_winner,city,toss_decision,date of match,actual_winner,Predicted_winner
CSK,RR,8,RR,3,0,6/1/2008,RR,CSK
DC,RCB,14,RCB,13,0,5/24/2009,DC,RCB
CSK,MI,8,CSK,3,1,4/25/2010,CSK,RCB
CSK,RCB,7,CSK,7,1,5/28/2011,CSK,CSK
CSK,KKR,7,CSK,7,1,5/27/2012,KKR,CSK
MI,CSK,4,MI,4,1,5/26/2013,MI,MI
KXIP,KKR,0,KKR,0,0,6/1/2014,KKR,MI
MI,CSK,4,CSK,4,0,5/24/2015,MI,MI
SRH,RCB,0,SRH,0,1,5/29/2016,SRH,SRH
MI,RPS,6,MI,6,1,5/21/2017,MI,CSK
SRH,CSK,3,CSK,3,0,5/27/2018,CSK,RCB
MI,CSK,38,MI,6,1,5/12/2019,MI,CSK
